team,stage,prob
Spain,Quarter-Finals,0.6226
France,Quarter-Finals,0.3346
Germany,Quarter-Finals,0.4512
Ghana,Quarter-Finals,0.0
Haiti,Quarter-Finals,0.0036
Iran,Quarter-Finals,0.2032
Iraq,Quarter-Finals,0.0044
Jordan,Quarter-Finals,0.0004
Japan,Quarter-Finals,0.3632
South Korea,Quarter-Finals,0.1734
Saudi Arabia,Quarter-Finals,0.011
Morocco,Quarter-Finals,0.501
Mexico,Quarter-Finals,0.6066
Netherlands,Quarter-Finals,0.3492
Norway,Quarter-Finals,0.0324
New Zealand,Quarter-Finals,0.0004
Panama,Quarter-Finals,0.018
Paraguay,Quarter-Finals,0.0526
Portugal,Quarter-Finals,0.3136
Qatar,Quarter-Finals,0.004
South Africa,Quarter-Finals,0.0042
Scotland,Quarter-Finals,0.0798
Senegal,Quarter-Finals,0.0876
Switzerland,Quarter-Finals,0.2436
Sweden,Quarter-Finals,0.0102
Tunisia,Quarter-Finals,0.0148
Turkey,Quarter-Finals,0.062
Uruguay,Quarter-Finals,0.159
United States,Quarter-Finals,0.0838
Uzbekistan,Quarter-Finals,0.0086
Algeria,Semi-Finals,0.0184
Argentina,Semi-Finals,0.5248
Australia,Semi-Finals,0.0276
Austria,Semi-Finals,0.0136
Belgium,Semi-Finals,0.203
Bosnia and Herzegovina,Semi-Finals,0.0
Brazil,Semi-Finals,0.4248
Canada,Semi-Finals,0.0588
Ivory Coast,Semi-Finals,0.013
DR Congo,Semi-Finals,0.0004
Colombia,Semi-Finals,0.0868
Cape Verde,Semi-Finals,0.0002
Croatia,Semi-Finals,0.019
Curaçao,Semi-Finals,0.0
Czech Republic,Semi-Finals,0.0212
Ecuador,Semi-Finals,0.105
Egypt,Semi-Finals,0.0114
England,Semi-Finals,0.1312
Spain,Semi-Finals,0.4596
France,Semi-Finals,0.1854
Germany,Semi-Finals,0.2012
Ghana,Semi-Finals,0.0
Haiti,Semi-Finals,0.0002
Iran,Semi-Finals,0.0896
Iraq,Semi-Finals,0.0
Jordan,Semi-Finals,0.0
Japan,Semi-Finals,0.1722
South Korea,Semi-Finals,0.0476
Saudi Arabia,Semi-Finals,0.0008
Morocco,Semi-Finals,0.2892
Mexico,Semi-Finals,0.3758
Netherlands,Semi-Finals,0.159
Norway,Semi-Finals,0.0064
New Zealand,Semi-Finals,0.0
Panama,Semi-Finals,0.0038
Paraguay,Semi-Finals,0.0102
Portugal,Semi-Finals,0.1128
Qatar,Semi-Finals,0.0004
South Africa,Semi-Finals,0.0004
Scotland,Semi-Finals,0.0172
Senegal,Semi-Finals,0.0188
Switzerland,Semi-Finals,0.0878
Sweden,Semi-Finals,0.0008
Tunisia,Semi-Finals,0.0014
Turkey,Semi-Finals,0.0192
Uruguay,Semi-Finals,0.0524
United States,Semi-Finals,0.028
Uzbekistan,Semi-Finals,0.0006
Algeria,Final,0.0064
Argentina,Final,0.4384
Australia,Final,0.0064
Austria,Final,0.005
Belgium,Final,0.0714
Bosnia and Herzegovina,Final,0.0
Brazil,Final,0.2294
Canada,Final,0.0118
Ivory Coast,Final,0.0014
DR Congo,Final,0.0
Colombia,Final,0.0496
Cape Verde,Final,0.0
Croatia,Final,0.0058
Curaçao,Final,0.0
Czech Republic,Final,0.0034
Ecuador,Final,0.0228
Egypt,Final,0.0022
England,Final,0.0824
Spain,Final,0.2846
France,Final,0.1214
Germany,Final,0.0842
Ghana,Final,0.0
Haiti,Final,0.0
Iran,Final,0.022
Iraq,Final,0.0
Jordan,Final,0.0
Japan,Final,0.0648
South Korea,Final,0.011
Saudi Arabia,Final,0.0
Morocco,Final,0.1146
Mexico,Final,0.1796
Netherlands,Final,0.0588
Norway,Final,0.0014
New Zealand,Final,0.0
Panama,Final,0.0002
Paraguay,Final,0.0012
Portugal,Final,0.0652
Qatar,Final,0.0
South Africa,Final,0.0
Scotland,Final,0.0044
Senegal,Final,0.007
Switzerland,Final,0.0226
Sweden,Final,0.0
Tunisia,Final,0.0002
Turkey,Final,0.0044
Uruguay,Final,0.0102
United States,Final,0.0056
Uzbekistan,Final,0.0002
Algeria,Champion,0.0012
Argentina,Champion,0.3174
Australia,Champion,0.0014
Austria,Champion,0.0006
Belgium,Champion,0.0244
Bosnia and Herzegovina,Champion,0.0
Brazil,Champion,0.1148
Canada,Champion,0.0026
Ivory Coast,Champion,0.0
DR Congo,Champion,0.0
Colombia,Champion,0.0184
Cape Verde,Champion,0.0
Croatia,Champion,0.0018
Curaçao,Champion,0.0
Czech Republic,Champion,0.001
Ecuador,Champion,0.0052
Egypt,Champion,0.0002
England,Champion,0.0344
Spain,Champion,0.1612
France,Champion,0.0698
Germany,Champion,0.0308
Ghana,Champion,0.0
Haiti,Champion,0.0
Iran,Champion,0.0058
Iraq,Champion,0.0
Jordan,Champion,0.0
Japan,Champion,0.0248
South Korea,Champion,0.0024
Saudi Arabia,Champion,0.0
Morocco,Champion,0.042
Mexico,Champion,0.079
Netherlands,Champion,0.0196
Norway,Champion,0.0002
New Zealand,Champion,0.0
Panama,Champion,0.0
Paraguay,Champion,0.0
Portugal,Champion,0.0272
Qatar,Champion,0.0
South Africa,Champion,0.0
Scotland,Champion,0.0012
Senegal,Champion,0.0026
Switzerland,Champion,0.0052
Sweden,Champion,0.0
Tunisia,Champion,0.0
Turkey,Champion,0.0006
Uruguay,Champion,0.0024
United States,Champion,0.0016
Uzbekistan,Champion,0.0002
